userName,score,content,content_clean,at,thumbsUpCount,content_normalized,content_clean_final
Achmad Taufik,5,Pokoknya keren deh,pokoknya keren deh,2025-10-17 04:07:41,0,pokoknya keren deh,pokoknya keren deh
Minoki Iruyuki,5,mantap poll,mantap poll,2025-10-17 04:04:24,0,mantap poll,mantap poll
Tirta adi adi,3,bug kelempar riwayat tolong benerin,bug kelempar riwayat tolong benerin,2025-10-17 03:58:00,0,bug kelempar riwayat tolong benerin,bug kelempar riwayat tolong benerin
Arman Arliando,1,"Sudah tidak membantu sama sekali, performanya tidak seakurat dulu waktu pertama kali di rilis. makin ke sini semakin amburadul.","sudah tidak membantu sama sekali, performanya tidak seakurat dulu waktu pertama kali di rilis. makin ke sini semakin amburadul.",2025-10-17 03:51:08,0,"sudah tidak membantu sama sekali, performanya tidak seakurat dulu waktu pertama kali di rilis. makin ke sini semakin amburadul.",membantu performanya seakurat kali rilis amburadul
Lina Susanti,5,bagus banget cepat buat nya.. makasih,bagus banget cepat buat nya.. makasih,2025-10-17 03:45:05,0,bagus banget cepat buat nya.. makasih,bagus banget cepat nya makasih
PAW ASHIWAKI,1,tolong agar chat gpt agar bisa menyimpan memori apa pun kaya dulu!,tolong agar chat gpt agar bisa menyimpan memori apa pun kaya dulu!,2025-10-17 03:38:55,0,tolong agar chat gpt agar bisa menyimpan memori apa pun kaya dulu!,tolong chat gpt menyimpan memori kaya
Indriyani Putri,5,good job,good job,2025-10-17 03:37:00,0,good job,good job
Fajar,5,aplikasi nya bagus jawab nya cepat,aplikasi nya bagus jawab nya cepat,2025-10-17 03:30:48,0,aplikasi nya bagus jawab nya cepat,aplikasi nya bagus nya cepat
Ardi Satria,5,bagus,bagus,2025-10-17 03:30:44,0,bagus,bagus
Paulus A liong,5,apk yang sangat bagus,apk yang sangat bagus,2025-10-17 03:25:43,0,apk yang sangat bagus,apk bagus
alya Bilqi,3,gambar yang dibuat tidak sesuai ekspektasi 🙄,gambar yang dibuat tidak sesuai ekspektasi 🙄,2025-10-17 03:25:08,0,gambar yang dibuat tidak sesuai ekspektasi 🙄,gambar sesuai ekspektasi
Jabus Jabus,5,sangat membantu,sangat membantu,2025-10-17 03:24:53,0,sangat membantu,membantu
langgeng pujianto,5,mantul,mantul,2025-10-17 03:22:01,0,mantul,mantul
Kemot k-e-y Micro Aranjer,5,sangat membantu saya,sangat membantu saya,2025-10-17 03:20:47,0,sangat membantu saya,membantu
Lensa wuekero Lensa wuekero,5,keren,keren,2025-10-17 03:19:56,0,keren,keren
Baim Ibrahim Hasan,5,"sangat baik sekali ,dan membantu tugas saya","sangat baik sekali ,dan membantu tugas saya",2025-10-17 03:11:41,0,"sangat baik sekali ,dan membantu tugas saya",membantu tugas
Ardiyanto Abdulah,5,bagus sangat membantu,bagus sangat membantu,2025-10-17 03:07:39,0,bagus sangat membantu,bagus membantu
sabah akbar,5,bagusss,bagusss,2025-10-17 02:44:24,0,bagusss,bagusss
Lalu muhammad Yusron,5,mantaaaap👍,mantaaaap👍,2025-10-17 02:38:46,0,mantaaaap👍,mantaaaap👍
Fynnxy,5,"bagus semua, cuma kadang dia ga mendeteksi soal di gambar yang aku kirim, but that's okay, bisa ku ketik lagi biar jelas","bagus semua, cuma kadang dia ga mendeteksi soal di gambar yang aku kirim, but that's okay, bisa ku ketik lagi biar jelas",2025-10-17 02:38:17,0,"bagus semua, cuma kadang dia tidak mendeteksi soal di gambar yang aku kirim, but that's okay, bisa ku ketik lagi biar jelas",bagus kadang mendeteksi gambar kirim but thats okay ketik biar
