userName,score,content,content_clean,at,thumbsUpCount
MAR W,1,aplikasi kagak jelas tidak semua info diberikan benar,aplikasi kagak jelas tidak semua info diberikan benar,2025-10-09 10:52:04,0
Absya Al-Nauroh,4,bagud,bagud,2025-10-09 10:51:13,0
Sartia Panjaitan,3,"Lumayan, tapi harus pakai berlangganan 🙁","lumayan, tapi harus pakai berlangganan 🙁",2025-10-09 10:48:52,0
Yudi Gunawan,4,mantap,mantap,2025-10-09 10:45:16,0
Yosua Tipe,5,ChatGPT merupakan bagian 😃😃😃,chatgpt merupakan bagian 😃😃😃,2025-10-09 10:43:30,0
Sardi Rizhal,1,susah loginnya,susah loginnya,2025-10-09 10:39:06,0
Kha Lista,5,sangat bagus,sangat bagus,2025-10-09 10:35:53,0
Irvan Ahmad Setiawan,5,apik e poll,apik e poll,2025-10-09 10:23:07,0
SYAH _RUL,2,kurang cepat prosesnya,kurang cepat prosesnya,2025-10-09 10:22:57,0
Erpan bujak Bujak,5,bisa di percaya,bisa di percaya,2025-10-09 10:22:41,0
Dellano ajahh,5,bagus,bagus,2025-10-09 10:15:37,0
Maximus eriksiano Banda,5,sangat membantu saya dalam tugas sehari hari ⭐⭐⭐⭐⭐👍👍👍,sangat membantu saya dalam tugas sehari hari ⭐⭐⭐⭐⭐👍👍👍,2025-10-09 10:15:05,0
Saufa Azzahra,5,bagussss walaupun kalo balasnya lebih cepat ini cocok di pake org² sihhh,bagussss walaupun kalo balasnya lebih cepat ini cocok di pake org² sihhh,2025-10-09 10:14:54,0
Agung Wisnu,5,membantu,membantu,2025-10-09 10:11:16,0
Indra riyan gunawan,5,nice,nice,2025-10-09 10:10:31,0
Jannah nur,5,saya suka aplikasi ini,saya suka aplikasi ini,2025-10-09 10:09:04,0
reyyy 199,1,gajelas jawab ga pernah bener,gajelas jawab ga pernah bener,2025-10-09 10:08:34,0
Reza Ajerlin,5,sangat mudah digunakan,sangat mudah digunakan,2025-10-09 09:59:58,0
Julita Haya,5,sangat membantu,sangat membantu,2025-10-09 09:59:48,0
Rifatin Atin,5,sangat membantu sekali terimakasih,sangat membantu sekali terimakasih,2025-10-09 09:58:13,0
salsyam gpt,5,"main chat gpt serasa ngobrol bareng temen cug cocok banget buat gw, makasih min...","main chat gpt serasa ngobrol bareng temen cug cocok banget buat gw, makasih min...",2025-10-09 09:50:38,0
Nitha G-Dragon,1,"buruk sekali yang terbaru ini,kaku sekalo gak bisa santai seperti sebelumnya ..","buruk sekali yang terbaru ini,kaku sekalo gak bisa santai seperti sebelumnya ..",2025-10-09 09:49:37,0
Alsel Alsel (Damzzz),4,bagus banget sebenarnya bisa curhat nanya tentang karier pekerjaan dan pertanyaan random tapi saya harap agar kalau bisa tambahkan fitur voice suara biar tidak ribet harus ngetik manual,bagus banget sebenarnya bisa curhat nanya tentang karier pekerjaan dan pertanyaan random tapi saya harap agar kalau bisa tambahkan fitur voice suara biar tidak ribet harus ngetik manual,2025-10-09 09:46:51,0
