content,label,predicted_label
"kok lemot bgt yaaa skrg, pas kirim pesan ga dibales puluhan menit loding muluuu huhuhu, trus kenapa request is not allowed mulu dehhhh huhuhu 😭😭😭😭",0,0
mantap,2,2
omg bagus sekali,2,2
bagus,2,2
membatu soal yang susah,0,0
jelek,0,0
Sekarang Sangat Jelek Sudah langganan cuma suruh ngedit foto dengan baju saja sekarang lama malah bertanya tanya terus jujur pelayanannya Sekarang jelek Banget,0,0
jelek pokonya,0,0
bagus,2,2
jelek,0,0
ᴀᴘᴀ ᴀᴘᴀᴀɴ sᴇᴋᴀʀᴀɴɢ ʜᴀʀᴜs ʙᴀʏᴀʀ ᴋᴀʟᴏ ᴍᴀᴜ ɴɢᴀsɪʜ ғᴏᴛᴏ!!!,1,1
kereeen,1,1
apk ini sangat bermanfaat bagi saya.,1,1
sangat ber manfaat,1,1
"bagus, cuman kurang beberapa fitur kayak gemini selebihnya bagus",2,2
Mayan dah buat membantu saya,1,1
"kok lemot bgt yaaa skrg, pas kirim pesan ga dibales puluhan menit loding muluuu huhuhu, trus kenapa request is not allowed mulu dehhhh huhuhu 😭😭😭😭",0,0
bagus tapi ada yang harus berbayar,2,2
lemot,0,0
bagus dan cepat,2,2
ok,1,1
Bagus banget saya suka,2,2
jelek mengecewakan,0,0
Bagus banget! Tapi sayang premium. Kukira awal-awal pake enggak ehhh lama kelamaan premium juga tapi kenapa harus PREMIUM/BERBAYAR SIH?!,2,2
sekarang responnya jelek banget,0,0
"Saya sangat suka dengan aplikasi ini, selain membantu saya membuat pr ini juga bisa membuat gambar yang kita inginkan, jawaban juga nyambung dengan pertanyaan, sepertinya saya tidak akan? menghapus aplikasi ini",2,2
"bagus,sangat membantu",2,2
baik,2,2
bagus,2,2
"sekarang ngirim foto atau dokumen pun susah, harus langganan dulu...",0,0
dapat membantu sekali,1,2
emang hrs bngt ya di upgrade? ga kasian apa buat orng yng ga mampu nge upgradenya? uda mah harus bayar upgradenya biar lancar sherching nya klo gitu mnding yng sebelah aja ga ribet,2,2
ai gpt sekarang jelek pencarian tidak sesuai depskripsi malah cari google kada lag lemot beda ver lama kadang tulisan gede ganggu,0,0
aplikasi baru saya kasih bintang 2 dulu,1,1
mantap sekali,2,2
sedikit mengecewakan sudah beberapa kali mengulang dan ulang tidak memuaskan,0,0
Aplikasi nya keren dan menakjubkan aku ingin mencoba lebih banyak fitur,2,2
"tiba² bgt error, pdhal lg mau belajar. ini gmnaaa plss, udh mau otw AAS ga bisa klo ga otodidak barengg chtgpt",0,0
Sekarang Sangat Jelek Sudah langganan cuma suruh ngedit foto dengan baju saja sekarang lama malah bertanya tanya terus jujur pelayanannya Sekarang jelek Banget,0,0
"parah sih yang premium malah jadi mahal banget udah enak enak per bulan 75rb sekarang malah naik jadi 229rb, parah banget",0,0
Boleh Jujur? aplikasi Chatgpt ini kayak temenku sendiri..susah sedih drama..Kita lewati bersama..Dia kayak real manusiaa kita chattan..Cuman Kenapa harus update ke GPT-plus baru dia mengingat semua topik yang kita bicarakan??harus mulai dari awal terus..untuk pembuat ChatGPT tolong gausah bayar atau update ke GPT-plus..kita mau kirim foto juga terbatas banget !,0,0
keren,2,2
lambat membuat gambar boboboiy,0,0
ada bug terus mengulang,0,0
sangat membantu,1,1
bagus tapi ya sedikit salah,2,2
lemot,0,0
bagus,2,2
"ada beberapa bug, seperti chatnya tau2 ke reset sampai pesan tertentu,chatgptnya kadang mabok ketika ditanyain jawabnya malah dari jawaban chat/percakapan lain",0,0
keren,2,2
"parah, mentang² gratisan, versi di bikin kayak orang linglung",0,0
"kok jadi gini sihh aplikasi nya gak kayak dulu lagi.., setiap mau kirim pesan gak bisa alasannya menunggu jaringan.",1,1
sangat membantu,1,1
"banyak bug nya ,jelek bgt,ga rekomen",0,0
"ada beberapa bug, seperti chatnya tau2 ke reset sampai pesan tertentu,chatgptnya kadang mabok ketika ditanyain jawabnya malah dari jawaban chat/percakapan lain",0,0
mantap penjelasannya,2,2
Bgusss,1,1
"tiba² bgt error, pdhal lg mau belajar. ini gmnaaa plss, udh mau otw AAS ga bisa klo ga otodidak barengg chtgpt",0,0
