review,rating,app
bagus banget cocok untuk digunakan,5,ChatGPT
keren,5,ChatGPT
goooooood,4,ChatGPT
bagus,5,ChatGPT
keren,5,ChatGPT
ngedit foto/video jelek ga bagus and ga really,2,ChatGPT
bagus,5,ChatGPT
"baguss bangett suka""",5,ChatGPT
Kenapaa edit foto malah hasilnya berubah sih?? padahal promptnya sama lohh. eggk kayak biasanya yang jadi bagus banget. sekarang malah kelihatan editan,3,ChatGPT
sangat bagus fitur ya,5,ChatGPT
"bagus sekali, tapi memang harus berbayar, minimal yang versi GO, 75 ribu sebulan lebih baik dibanding saya bayar Netflix. jika ada yg beri bintang 1 atau 2 bisa dipastikan mereka pakai yang versi gratisan 😅",5,ChatGPT
kurang real time tentang berita terbaru salah satu contoh misalnya tidak tahu siapa ayah dari idgitaf idgitaf itu sedang trend (dikenal publik) contoh kedua yang sederhana tidak tahu ukuran busi untuk sepeda motor Honda kharisma untuk masukan tolong upgrade perluas pengetahuannya supaya tidak tertinggal oleh google masa AI ketinggalan,1,ChatGPT
sangat puas,5,ChatGPT
keren bisa ubah foto jadi lebih keren,5,ChatGPT
sempurna....,5,ChatGPT
bagus bangett🤩🤩,5,ChatGPT
guut,5,ChatGPT
bagus,5,ChatGPT
mantap,5,ChatGPT
sudah bagus tetapi jawaban kurang akurat,3,ChatGPT
bagus banget dan rapi cerah hasil nya bagus bagus,5,ChatGPT
mantab pokoknya jos banget,5,ChatGPT
good,5,ChatGPT
bagus,5,ChatGPT
sangat membantu,5,ChatGPT
gk mau g ikutin perintah,1,ChatGPT
bagus bgt buat aku gk gabut aja sihh,5,ChatGPT
fitur editnya di mana yah?,2,ChatGPT
sangat bangus dan memantu,5,ChatGPT
ok,5,ChatGPT
bagus banget 👍👍👍👍,5,ChatGPT
keren,1,ChatGPT
sangat membantu,5,ChatGPT
keren,5,ChatGPT
"notif "" anda telah mencapai batas "" menggangu banget, setiap kali kirim pesan muncul terus, sebelum nya sekali pencet hilang",4,ChatGPT
mantap,5,ChatGPT
makasih sudah menyelamat kan 2026 chat gpt chann😘😘😘,5,ChatGPT
bagus dan membantu,5,ChatGPT
mantep banget,5,ChatGPT
"BAGUS BUAT TEMPAT CURHAT, asik bgttttttttt kl bisa bintang SEPULUHHH",5,ChatGPT
sangat bagus,5,ChatGPT
baik,5,ChatGPT
sangatttt kerenm dann cangihhhhhh wowwwww,5,ChatGPT
bagus sekali,5,ChatGPT
bagus bgt lek gambarnya,5,ChatGPT
apk yang bagus,5,ChatGPT
bagus .. banget,5,ChatGPT
good,5,ChatGPT
BAGUS BGT BISA BUAT CURHAT JUGAA 😍😍,5,ChatGPT
sangat bagus,4,ChatGPT
bagus banget,5,ChatGPT
karna banyak yang tidak diterima,3,ChatGPT
sangat bagus,5,ChatGPT
tolong bebaskan kami dari Playintegrity😭,3,ChatGPT
terlalulama,2,ChatGPT
membantu menjawab pertanyaan dengan akurasi dan benar... dan bisa mengerti penjelasan kita,5,ChatGPT
mantap jiwa,5,ChatGPT
Saya suka aplikasi ini terimakasih. Tapi satu kesalahan mohon maaf jangan ada pop up lagi GPT-5. Saya kasih rating 4,4,ChatGPT
keren,5,ChatGPT
AI nya rasis loh🥲🥲,1,ChatGPT
Aplikasi Chat Gpt sangat membantu dalam menjelajah dan menelaah materi atau sumber yang sedang dibutuhkan. Chat Gpt adalag salah satu bukti sederhana kemajuan serta kemudahan teknologi digital pada abad ini.,5,ChatGPT
gak bisa di gunakan,1,ChatGPT
sangat bermanfaat sekali,5,ChatGPT
bagus,5,ChatGPT
"mantep lu chatgpt, kaga 5 bintang soalnya berbayar kaga full gratis.",4,ChatGPT
sangat membantu dalam merencanakan bisnis selalu ada jawaban.. mksh,5,ChatGPT
keren sangat membantu,5,ChatGPT
sangat membantu,5,ChatGPT
good,5,ChatGPT
apk mantap,5,ChatGPT
good,5,ChatGPT
Bagussss😍😍😍,5,ChatGPT
sangat membantu terutama untuk mencari informasi dan hal-hal kreatif 👍,5,ChatGPT
gak bagus,1,ChatGPT
berguna,5,ChatGPT
"keren lah,tapi sistem bayar nya di hilangkan",1,ChatGPT
