content,clean,sentimen
"kok lemot bgt yaaa skrg, pas kirim pesan ga dibales puluhan menit loding muluuu huhuhu, trus kenapa request is not allowed mulu dehhhh huhuhu 😭😭😭😭",kok lemot bgt yaaa skrg pas kirim pesan ga dibales puluhan menit loding muluuu huhuhu trus kenapa request is not allowed mulu dehhhh huhuhu,Negatif
mantap,mantap,Positif
omg bagus sekali,omg bagus sekali,Positif
bagus,bagus,Positif
membatu soal yang susah,membatu soal yang susah,Negatif
jelek,jelek,Negatif
Sekarang Sangat Jelek Sudah langganan cuma suruh ngedit foto dengan baju saja sekarang lama malah bertanya tanya terus jujur pelayanannya Sekarang jelek Banget,sekarang sangat jelek sudah langganan cuma suruh ngedit foto dengan baju saja sekarang lama malah bertanya tanya terus jujur pelayanannya sekarang jelek banget,Negatif
jelek pokonya,jelek pokonya,Negatif
bagus,bagus,Positif
jelek,jelek,Negatif
ᴀᴘᴀ ᴀᴘᴀᴀɴ sᴇᴋᴀʀᴀɴɢ ʜᴀʀᴜs ʙᴀʏᴀʀ ᴋᴀʟᴏ ᴍᴀᴜ ɴɢᴀsɪʜ ғᴏᴛᴏ!!!,s s s,Netral
kereeen,kereeen,Netral
apk ini sangat bermanfaat bagi saya.,apk ini sangat bermanfaat bagi saya,Netral
sangat ber manfaat,sangat ber manfaat,Netral
"bagus, cuman kurang beberapa fitur kayak gemini selebihnya bagus",bagus cuman kurang beberapa fitur kayak gemini selebihnya bagus,Positif
Mayan dah buat membantu saya,mayan dah buat membantu saya,Netral
"kok lemot bgt yaaa skrg, pas kirim pesan ga dibales puluhan menit loding muluuu huhuhu, trus kenapa request is not allowed mulu dehhhh huhuhu 😭😭😭😭",kok lemot bgt yaaa skrg pas kirim pesan ga dibales puluhan menit loding muluuu huhuhu trus kenapa request is not allowed mulu dehhhh huhuhu,Negatif
bagus tapi ada yang harus berbayar,bagus tapi ada yang harus berbayar,Positif
lemot,lemot,Negatif
bagus dan cepat,bagus dan cepat,Positif
ok,ok,Netral
Bagus banget saya suka,bagus banget saya suka,Positif
jelek mengecewakan,jelek mengecewakan,Negatif
Bagus banget! Tapi sayang premium. Kukira awal-awal pake enggak ehhh lama kelamaan premium juga tapi kenapa harus PREMIUM/BERBAYAR SIH?!,bagus banget tapi sayang premium kukira awal awal pake enggak ehhh lama kelamaan premium juga tapi kenapa harus premium berbayar sih,Positif
sekarang responnya jelek banget,sekarang responnya jelek banget,Negatif
"Saya sangat suka dengan aplikasi ini, selain membantu saya membuat pr ini juga bisa membuat gambar yang kita inginkan, jawaban juga nyambung dengan pertanyaan, sepertinya saya tidak akan? menghapus aplikasi ini",saya sangat suka dengan aplikasi ini selain membantu saya membuat pr ini juga bisa membuat gambar yang kita inginkan jawaban juga nyambung dengan pertanyaan sepertinya saya tidak akan menghapus aplikasi ini,Positif
"bagus,sangat membantu",bagus sangat membantu,Positif
baik,baik,Positif
bagus,bagus,Positif
"sekarang ngirim foto atau dokumen pun susah, harus langganan dulu...",sekarang ngirim foto atau dokumen pun susah harus langganan dulu,Negatif
dapat membantu sekali,dapat membantu sekali,Netral
emang hrs bngt ya di upgrade? ga kasian apa buat orng yng ga mampu nge upgradenya? uda mah harus bayar upgradenya biar lancar sherching nya klo gitu mnding yng sebelah aja ga ribet,emang hrs bngt ya di upgrade ga kasian apa buat orng yng ga mampu nge upgradenya uda mah harus bayar upgradenya biar lancar sherching nya klo gitu mnding yng sebelah aja ga ribet,Positif
ai gpt sekarang jelek pencarian tidak sesuai depskripsi malah cari google kada lag lemot beda ver lama kadang tulisan gede ganggu,ai gpt sekarang jelek pencarian tidak sesuai depskripsi malah cari google kada lag lemot beda ver lama kadang tulisan gede ganggu,Negatif
aplikasi baru saya kasih bintang 2 dulu,aplikasi baru saya kasih bintang 2 dulu,Netral
mantap sekali,mantap sekali,Positif
sedikit mengecewakan sudah beberapa kali mengulang dan ulang tidak memuaskan,sedikit mengecewakan sudah beberapa kali mengulang dan ulang tidak memuaskan,Negatif
Aplikasi nya keren dan menakjubkan aku ingin mencoba lebih banyak fitur,aplikasi nya keren dan menakjubkan aku ingin mencoba lebih banyak fitur,Positif
"tiba² bgt error, pdhal lg mau belajar. ini gmnaaa plss, udh mau otw AAS ga bisa klo ga otodidak barengg chtgpt",tiba bgt error pdhal lg mau belajar ini gmnaaa plss udh mau otw aas ga bisa klo ga otodidak barengg chtgpt,Negatif
Sekarang Sangat Jelek Sudah langganan cuma suruh ngedit foto dengan baju saja sekarang lama malah bertanya tanya terus jujur pelayanannya Sekarang jelek Banget,sekarang sangat jelek sudah langganan cuma suruh ngedit foto dengan baju saja sekarang lama malah bertanya tanya terus jujur pelayanannya sekarang jelek banget,Negatif
"parah sih yang premium malah jadi mahal banget udah enak enak per bulan 75rb sekarang malah naik jadi 229rb, parah banget",parah sih yang premium malah jadi mahal banget udah enak enak per bulan 75rb sekarang malah naik jadi 229rb parah banget,Negatif
